id,world_id,country,visit,purchase,download
748,9,United States,2,0,5
756,9,United Kingdom,2,1,2
760,1,Portugal,3,1,10
763,1,United States,1,1,0
768,9,Portugal,1,0,2
769,1,United States,3,1,25
774,1,United States,1,0,5
775,1,United States,3,1,14
781,9,United States,1,1,1
783,9,United States,3,1,5
785,9,United States,1,1,15
787,1,Portugal,3,1,100
788,1,United States,3,1,0
790,9,United States,2,1,89
791,9,United States,1,1,0
797,1,United States,3,0,5
798,9,United States,2,1,0
800,9,United States,2,1,75
808,9,United States,2,1,1
811,9,Indonesia,0,0,0
819,1,United States,3,1,120
825,1,United States,1,0,0
831,9,United States,2,1,0
833,1,Australia,2,1,300
840,1,United States,1,1,0
841,9,United States,1,1,0
846,9,United States,1,1,45
849,9,United States,1,1,0
850,1,United States,0,0,0
852,9,Indonesia,3,0,2
853,9,United States,2,1,1
858,9,United States,1,0,0
859,9,United States,3,1,20
864,9,United States,2,0,0
867,9,United States,1,0,0
876,9,United Kingdom,1,1,45
881,9,United States,2,1,5
884,9,Canada,1,1,2
887,9,United States,2,0,0
888,1,United States,0,0,0
891,9,United States,1,0,0
893,9,United Kingdom,1,0,0
897,1,United States,2,1,0
898,9,United States,1,0,0
899,1,Brazil,3,0,100
908,9,United States,3,1,2
909,9,United States,1,1,0
910,1,United States,0,0,1
911,9,United States,3,1,0
917,1,United States,1,1,0
918,9,United States,2,1,50
920,9,United States,2,1,15
929,1,United States,2,1,10
931,9,Colombia,3,1,50
936,9,Austria,3,1,0
939,1,United States,3,1,4
947,9,United States,3,1,0
948,9,Brazil,2,1,50
956,1,United States,1,0,0
957,9,United States,3,1,30
962,9,United States,1,1,2
964,9,United States,1,1,0
967,9,United States,3,1,50
973,1,United States,3,1,0
980,1,United States,2,1,15
984,9,United States,1,0,1
991,9,United States,3,1,0
992,9,United States,3,1,20
993,1,United States,3,1,0
997,9,United States,1,1,39
999,9,United States,3,1,15
1000,9,United States,2,1,15
1002,9,United States,0,0,0
1008,9,United States,3,1,0
1009,9,United States,1,0,0
1010,9,United States,1,1,0
1011,9,United States,2,1,0
1012,9,United States,3,1,15
1016,1,United States,3,0,0
1018,9,Canada,3,0,0
1021,9,United States,1,1,5
1022,9,United States,0,1,0
1029,9,United States,3,0,0
1036,9,Austria,3,1,20
1037,9,United States,1,1,3
1040,9,Germany,3,1,0
1042,9,United States,3,0,0
1051,9,United States,1,0,0
1061,9,United States,1,0,0
1063,9,United States,0,1,10
1064,9,United States,3,1,20
1067,9,United States,2,1,0
1069,9,United States,1,1,3
1070,9,United States,1,1,60
1071,9,United States,3,0,0
1075,1,United States,2,1,15
1076,9,United States,3,0,5
1079,1,United States,1,0,2
1080,1,United States,1,1,0
1084,1,United States,0,0,0
1085,1,Canada,2,1,0
1086,9,United States,1,1,0
1089,9,United States,1,1,40
1090,1,United States,0,0,0
1095,9,United States,1,1,1
1105,9,United States,1,1,0
1106,9,United States,3,1,15
1107,9,United States,3,1,0
1108,9,United States,1,1,2
1110,9,United States,3,1,0
1111,9,United States,1,1,0
1113,9,United States,2,1,5
1117,9,United States,3,1,600
1131,1,United States,1,1,3
1134,9,United States,3,1,20
1137,1,United States,2,1,10
1139,1,Portugal,1,1,2
1141,9,United States,3,1,10
1145,9,United States,1,1,2
1148,9,United States,1,0,20
1149,9,United States,1,1,5
1155,1,United States,1,0,2
1157,1,United States,3,1,0
1159,1,United States,1,0,0
1161,1,United Kingdom,1,1,0
1163,1,Canada,3,0,50
1167,1,New Zealand,1,1,2
1169,9,United States,3,1,9
1171,1,United States,1,1,1
1174,9,United States,1,0,10
1178,9,United States,1,1,0
1181,9,United Kingdom,1,1,5
1182,1,United States,3,1,0
1186,9,United States,1,1,4
1189,9,Canada,2,0,0
1191,1,United States,0,1,6
1206,1,United States,2,0,0
1208,9,United States,3,1,300
1215,9,United States,2,0,0
1229,1,United States,1,0,0
1231,1,United Kingdom,1,0,0
1240,1,United States,2,0,15
1243,1,United States,1,1,0
1244,1,United States,3,0,10
1245,9,United States,3,1,50
1246,9,United States,1,1,10
1247,9,United States,3,1,4
1248,1,United Kingdom,0,1,4
1249,1,United States,2,1,20
1253,9,United States,3,1,100
1268,1,Canada,2,1,30
1273,9,United States,2,1,10
1277,9,United States,0,0,10
1278,9,United States,0,0,0
1280,1,United States,3,1,20
1286,9,United States,3,1,25
1287,1,United States,3,1,20
1289,9,United States,3,1,25
1292,9,United States,1,1,0
1297,9,United States,3,1,20
1298,1,United States,1,1,3
1300,9,United States,3,1,15
1303,9,United States,3,1,15
1310,9,United States,2,1,500
1311,1,United States,1,1,50
1314,9,Germany,3,1,15
1315,9,United States,3,1,0
1317,9,United States,2,1,25
1321,9,United States,3,1,19
1322,9,United States,2,1,30
1325,1,United States,2,1,12
1328,9,United States,3,1,200
1331,9,United States,3,1,250
1335,1,United Kingdom,3,1,150
1344,9,United States,3,1,10
1346,1,United States,1,1,2
1348,1,Latvia,2,0,3
1349,9,Portugal,3,1,0
1350,9,United States,1,1,2
1351,9,United Kingdom,2,1,20
1358,9,United States,2,1,50
1362,9,United Kingdom,3,1,300
1366,9,United States,3,1,15
1372,1,United States,2,1,3
1376,1,United States,3,1,0
1380,9,United Kingdom,3,1,8
1381,9,United States,3,1,15
1383,9,United States,2,1,24
1392,9,United States,2,0,0
1394,1,United States,3,1,5
1397,9,United States,1,1,0
1398,9,United States,3,1,0
1405,1,United States,2,1,15
1408,9,United States,3,1,30
1409,9,United States,2,1,0
1412,9,United States,3,1,120
1417,9,United States,3,1,10
1424,9,United States,3,1,30
1425,9,Australia,0,1,10
1428,9,Canada,3,1,50
1429,9,United States,2,1,5
1439,9,United States,3,1,0
1443,9,United States,3,1,40
1444,9,United States,3,1,10
1445,9,United States,3,1,20
1453,9,United States,1,0,0
1456,9,United States,1,1,23
1458,1,United States,2,1,20
1460,9,United States,3,1,3
1462,1,United States,0,1,0
1468,9,United States,2,1,45
1475,1,United States,2,1,100
1477,1,United States,0,1,1
1481,9,Australia,3,1,30
1485,1,United States,2,1,15
1487,1,United States,2,1,0
1500,9,United States,3,1,6
1501,9,United States,2,1,0
1515,9,Canada,3,1,300
1516,1,Japan,3,1,50
1518,1,United States,0,1,0
1519,9,United States,3,0,0
1521,1,United States,3,1,0
1523,1,United States,2,1,30
1528,9,United States,3,1,100
1529,9,Malaysia,0,0,2
1530,9,Australia,3,0,2
1531,9,United States,2,1,25
1535,1,United States,3,1,9
1537,9,Hongkong S.A.R,3,1,25
1540,9,Malaysia,1,0,40
1544,9,United States,3,1,500
1545,9,United States,3,1,300
1548,9,United States,3,1,0
1551,9,United States,3,1,2
1554,9,United States,2,1,5
1555,9,United States,3,1,100
1557,9,United States,3,1,20
1558,9,United States,3,1,5
1560,9,United States,3,1,100
1566,9,United States,3,1,200
1574,9,United States,2,1,0
1578,9,United States,3,1,5
1580,1,United States,2,1,15
1585,9,United States,3,1,25
1589,9,United States,2,1,0
1595,9,United States,1,1,0
1600,1,United States,1,1,100
1603,1,United States,1,0,10
1609,9,Italy,1,1,5
1619,9,United States,2,1,0
1624,9,Belgium,1,0,0
1644,1,Canada,1,1,0
1645,9,Brazil,3,1,10
1656,1,United States,1,1,30
1658,1,India,3,1,5
1660,9,Canada,1,1,0
1665,9,United States,3,1,20
1666,1,United States,1,1,0
1667,9,United States,3,1,0
